Name,Phone
Aiswarya hostel -  njanjaakkal -  pulincunno,9142246206
Anija's hostel -  padithara house -  pulincunnoo,8157987895
Anju home stay -  njaanjaakkal -  pulincunnoo,9539997672
Arikudy ladies hostel -  near circle office -  pulincunnoo,9447553423
Babus Hostel -  Opposite to Engineering College,8848476768 / 7025066850
K.M Hostel,7594025753
Manalayil,8376945147 / 7306791235
Muppathilchira Girls Hostel,9656499882 / 9497634830
Padisserry home stay -  opposite to Engg college,9061815862
Punnoor hostel,9745069107
Radhamadhavam -  Near Engg College,9349524770 / 7561824770
Raj Nivas,9447500490
S H Hostel,9946332043
S S Hostel,9995051567
Sarang,8078523371
Vithuvattickal,9447500633
Asha Homestay,8075264588
College Girls Hostel - Petals Hostel,4772707500